Microbe,Condition,Effect,Sample Type,Host,Method,Study Title,PubMed Link
Phascolarctobacterium,Crohn's Disease,Reduced,Tissue biopsie,Human,16S rRNA sequencing,Inflammation-related differences in mucosa-associated microbiota and intestinal barrier function in colonic Crohn's disease,https://www.ncbi.nlm.nih.gov/pubmed/29848021
Rhodobacter,Crohn's Disease,Reduced,Tissue biopsie,Human,16S rRNA sequencing,Inflammation-related differences in mucosa-associated microbiota and intestinal barrier function in colonic Crohn's disease,https://www.ncbi.nlm.nih.gov/pubmed/29848021
Escherichia,Crohn's Disease,Elevated,Tissue biopsie,Human,16S rRNA sequencing,Inflammation-related differences in mucosa-associated microbiota and intestinal barrier function in colonic Crohn's disease,https://www.ncbi.nlm.nih.gov/pubmed/29848021
Klebsiella,Crohn's Disease,Elevated,Tissue biopsie,Human,16S rRNA sequencing,Inflammation-related differences in mucosa-associated microbiota and intestinal barrier function in colonic Crohn's disease,https://www.ncbi.nlm.nih.gov/pubmed/29848021
Staphylococcus,Crohn's Disease,Elevated,Tissue biopsie,Human,16S rRNA sequencing,Inflammation-related differences in mucosa-associated microbiota and intestinal barrier function in colonic Crohn's disease,https://www.ncbi.nlm.nih.gov/pubmed/29848021
Enterococcus,Crohn's Disease,Elevated,Tissue biopsie,Human,16S rRNA sequencing,Inflammation-related differences in mucosa-associated microbiota and intestinal barrier function in colonic Crohn's disease,https://www.ncbi.nlm.nih.gov/pubmed/29848021
Turicibacter,Crohn's Disease,Elevated,Tissue biopsie,Human,16S rRNA sequencing,Inflammation-related differences in mucosa-associated microbiota and intestinal barrier function in colonic Crohn's disease,https://www.ncbi.nlm.nih.gov/pubmed/29848021
Peptoniphilus,Crohn's Disease,Elevated,Tissue biopsie,Human,16S rRNA sequencing,Inflammation-related differences in mucosa-associated microbiota and intestinal barrier function in colonic Crohn's disease,https://www.ncbi.nlm.nih.gov/pubmed/29848021
Anaerotruncus,Crohn's Disease,Elevated,Tissue biopsie,Human,16S rRNA sequencing,Inflammation-related differences in mucosa-associated microbiota and intestinal barrier function in colonic Crohn's disease,https://www.ncbi.nlm.nih.gov/pubmed/29848021
Finegoldia,Crohn's Disease,Elevated,Tissue biopsie,Human,16S rRNA sequencing,Inflammation-related differences in mucosa-associated microbiota and intestinal barrier function in colonic Crohn's disease,https://www.ncbi.nlm.nih.gov/pubmed/29848021
Bilophila,Crohn's Disease,Reduced,Tissue biopsie,Human,16S rRNA sequencing,Inflammation-related differences in mucosa-associated microbiota and intestinal barrier function in colonic Crohn's disease,https://www.ncbi.nlm.nih.gov/pubmed/29848021
Bacteroidetes,Crohn's Disease,Reduced,Tissue biopsie,Human,16S rRNA sequencing,Inflammation-related differences in mucosa-associated microbiota and intestinal barrier function in colonic Crohn's disease,https://www.ncbi.nlm.nih.gov/pubmed/29848021
Propionibacterium granulosum,Dandruff,Reduced,Skin swab,Human,16S rRNA sequencing,"Characterization of the major bacterial-fungal populations colonizing dandruff scalps in Shanghai, China, shows microbial disequilibrium",https://www.ncbi.nlm.nih.gov/pubmed/25739873
Malassezia restricta,Dandruff,Elevated,Skin swab,Human,16S rRNA sequencing,"Characterization of the major bacterial-fungal populations colonizing dandruff scalps in Shanghai, China, shows microbial disequilibrium",https://www.ncbi.nlm.nih.gov/pubmed/25739873
Staphylococcus,Dandruff,Elevated,Skin swab,Human,16S rRNA sequencing,"Characterization of the major bacterial-fungal populations colonizing dandruff scalps in Shanghai, China, shows microbial disequilibrium",https://www.ncbi.nlm.nih.gov/pubmed/25739873
Prevotella,Breast cancer,Reduced,Tissue biopsie,Human,16S rRNA sequencing,The microbiota of breast tissue and its association with breast cancer,https://www.ncbi.nlm.nih.gov/pubmed/27342554
Lactococcus,Breast cancer,Reduced,Tissue biopsie,Human,16S rRNA sequencing,The microbiota of breast tissue and its association with breast cancer,https://www.ncbi.nlm.nih.gov/pubmed/27342554
Streptococcus,Breast cancer,Reduced,Tissue biopsie,Human,16S rRNA sequencing,The microbiota of breast tissue and its association with breast cancer,https://www.ncbi.nlm.nih.gov/pubmed/27342554
Corynebacterium,Breast cancer,Reduced,Tissue biopsie,Human,16S rRNA sequencing,The microbiota of breast tissue and its association with breast cancer,https://www.ncbi.nlm.nih.gov/pubmed/27342554
Micrococcus,Breast cancer,Reduced,Tissue biopsie,Human,16S rRNA sequencing,The microbiota of breast tissue and its association with breast cancer,https://www.ncbi.nlm.nih.gov/pubmed/27342554
Bacillus,Breast cancer,Elevated,Tissue biopsie,Human,16S rRNA sequencing,The microbiota of breast tissue and its association with breast cancer,https://www.ncbi.nlm.nih.gov/pubmed/27342554
Staphylococcus,Breast cancer,Elevated,Tissue biopsie,Human,16S rRNA sequencing,The microbiota of breast tissue and its association with breast cancer,https://www.ncbi.nlm.nih.gov/pubmed/27342554
Enterobacteriaceae,Breast cancer,Elevated,Tissue biopsie,Human,16S rRNA sequencing,The microbiota of breast tissue and its association with breast cancer,https://www.ncbi.nlm.nih.gov/pubmed/27342554
Comamonadaceae,Breast cancer,Elevated,Tissue biopsie,Human,16S rRNA sequencing,The microbiota of breast tissue and its association with breast cancer,https://www.ncbi.nlm.nih.gov/pubmed/27342554
Bacteroidetes,Breast cancer,Elevated,Tissue biopsie,Human,16S rRNA sequencing,The microbiota of breast tissue and its association with breast cancer,https://www.ncbi.nlm.nih.gov/pubmed/27342554
Peptostreptococcus micros,Smoking,Elevated,Subgingival plaque,Human,Cell culture,Smoking affects the subgingival microflora in periodontitis,https://www.ncbi.nlm.nih.gov/pubmed/11394403
Fusobacterium nucleatum,Smoking,Elevated,Subgingival plaque,Human,Cell culture,Smoking affects the subgingival microflora in periodontitis,https://www.ncbi.nlm.nih.gov/pubmed/11394403
Prevotella intermedia,Smoking,Elevated,Subgingival plaque,Human,Cell culture,Smoking affects the subgingival microflora in periodontitis,https://www.ncbi.nlm.nih.gov/pubmed/11394403
Staphylococcus,Smoking,Elevated,Palmoplantar pustulosis pustule fluid,Human,16S rRNA sequencing,"The microbiome of the ""sterile"" pustules in palmoplantar pustulosis",https://www.ncbi.nlm.nih.gov/pubmed/30281856
Actinomyces odontolyticus,"Celiac Disease, Coaliac disease",Elevated,Tissue biopsie,Human,16S rRNA sequencing,Duodenal-mucosal bacteria associated with celiac disease in children,https://www.ncbi.nlm.nih.gov/pubmed/23835180
Staphylococcus epidermidis,"Celiac Disease, Coaliac disease",Elevated,Tissue biopsie,Human,16S rRNA sequencing,Duodenal-mucosal bacteria associated with celiac disease in children,https://www.ncbi.nlm.nih.gov/pubmed/23835180
Staphylococcus pasteuri,"Celiac Disease, Coaliac disease",Elevated,Tissue biopsie,Human,16S rRNA sequencing,Duodenal-mucosal bacteria associated with celiac disease in children,https://www.ncbi.nlm.nih.gov/pubmed/23835180
Klebsiella oxytoca,"Celiac Disease, Coaliac disease",Elevated,Tissue biopsie,Human,16S rRNA sequencing,Duodenal-mucosal bacteria associated with celiac disease in children,https://www.ncbi.nlm.nih.gov/pubmed/23835180
Streptococcus mitis,"Celiac Disease, Coaliac disease",Reduced,Tissue biopsie,Human,16S rRNA sequencing,Duodenal-mucosal bacteria associated with celiac disease in children,https://www.ncbi.nlm.nih.gov/pubmed/23835180
Streptococcus mutans,"Celiac Disease, Coaliac disease",Reduced,Tissue biopsie,Human,16S rRNA sequencing,Duodenal-mucosal bacteria associated with celiac disease in children,https://www.ncbi.nlm.nih.gov/pubmed/23835180
Streptococcus anginosus,"Celiac Disease, Coaliac disease",Reduced,Tissue biopsie,Human,16S rRNA sequencing,Duodenal-mucosal bacteria associated with celiac disease in children,https://www.ncbi.nlm.nih.gov/pubmed/23835180
Bifidobacterium,"Hand, foot and mouth disease",Elevated,Faeces,Human,16S rDNA pyrosequencing,"The gut microbiota of hand, foot and mouth disease patients demonstrates down-regulated butyrate-producing bacteria and up-regulated inflammation-inducing bacteria",https://www.ncbi.nlm.nih.gov/pubmed/30427066
Escherichia,"Hand, foot and mouth disease",Elevated,Faeces,Human,16S rDNA pyrosequencing,"The gut microbiota of hand, foot and mouth disease patients demonstrates down-regulated butyrate-producing bacteria and up-regulated inflammation-inducing bacteria",https://www.ncbi.nlm.nih.gov/pubmed/30427066
Enterococcus,"Hand, foot and mouth disease",Elevated,Faeces,Human,16S rDNA pyrosequencing,"The gut microbiota of hand, foot and mouth disease patients demonstrates down-regulated butyrate-producing bacteria and up-regulated inflammation-inducing bacteria",https://www.ncbi.nlm.nih.gov/pubmed/30427066
Streptococcus,"Hand, foot and mouth disease",Elevated,Faeces,Human,16S rDNA pyrosequencing,"The gut microbiota of hand, foot and mouth disease patients demonstrates down-regulated butyrate-producing bacteria and up-regulated inflammation-inducing bacteria",https://www.ncbi.nlm.nih.gov/pubmed/30427066
Gemmiger,"Hand, foot and mouth disease",Reduced,Faeces,Human,16S rDNA pyrosequencing,"The gut microbiota of hand, foot and mouth disease patients demonstrates down-regulated butyrate-producing bacteria and up-regulated inflammation-inducing bacteria",https://www.ncbi.nlm.nih.gov/pubmed/30427066
Ruminococcus,"Hand, foot and mouth disease",Reduced,Faeces,Human,16S rDNA pyrosequencing,"The gut microbiota of hand, foot and mouth disease patients demonstrates down-regulated butyrate-producing bacteria and up-regulated inflammation-inducing bacteria",https://www.ncbi.nlm.nih.gov/pubmed/30427066
Phascolarctobacterium,"Hand, foot and mouth disease",Reduced,Faeces,Human,16S rDNA pyrosequencing,"The gut microbiota of hand, foot and mouth disease patients demonstrates down-regulated butyrate-producing bacteria and up-regulated inflammation-inducing bacteria",https://www.ncbi.nlm.nih.gov/pubmed/30427066
Roseburia,"Hand, foot and mouth disease",Reduced,Faeces,Human,16S rDNA pyrosequencing,"The gut microbiota of hand, foot and mouth disease patients demonstrates down-regulated butyrate-producing bacteria and up-regulated inflammation-inducing bacteria",https://www.ncbi.nlm.nih.gov/pubmed/30427066
Dorea,"Hand, foot and mouth disease",Reduced,Faeces,Human,16S rDNA pyrosequencing,"The gut microbiota of hand, foot and mouth disease patients demonstrates down-regulated butyrate-producing bacteria and up-regulated inflammation-inducing bacteria",https://www.ncbi.nlm.nih.gov/pubmed/30427066
Blautia,Obesity,Reduced,Faeces,Human,16S rRNA sequencing,An altered fecal microbiota profile in patients with non-alcoholic fatty liver disease (NAFLD) associated with obesity,https://www.ncbi.nlm.nih.gov/pubmed/30810328
Alkaliphilus,Obesity,Reduced,Faeces,Human,16S rRNA sequencing,An altered fecal microbiota profile in patients with non-alcoholic fatty liver disease (NAFLD) associated with obesity,https://www.ncbi.nlm.nih.gov/pubmed/30810328
Flavobacterium,Obesity,Reduced,Faeces,Human,16S rRNA sequencing,An altered fecal microbiota profile in patients with non-alcoholic fatty liver disease (NAFLD) associated with obesity,https://www.ncbi.nlm.nih.gov/pubmed/30810328
Akkermansia,Obesity,Reduced,Faeces,Human,16S rRNA sequencing,An altered fecal microbiota profile in patients with non-alcoholic fatty liver disease (NAFLD) associated with obesity,https://www.ncbi.nlm.nih.gov/pubmed/30810328
Streptococcus,Non-alcoholic fatty liver disease,Elevated,Faeces,Human,16S rRNA sequencing,An altered fecal microbiota profile in patients with non-alcoholic fatty liver disease (NAFLD) associated with obesity,https://www.ncbi.nlm.nih.gov/pubmed/30810328
Dialister,Keratitis,Reduced,Faeces,Human,,"Alterations in gut bacterial and fungal microbiomes are associated with bacterial keratitis, an inflammatory disease of the human eye",https://www.ncbi.nlm.nih.gov/pubmed/30541945
Megasphaera,Keratitis,Reduced,Faeces,Human,,"Alterations in gut bacterial and fungal microbiomes are associated with bacterial keratitis, an inflammatory disease of the human eye",https://www.ncbi.nlm.nih.gov/pubmed/30541945
Faecalibacterium,Keratitis,Reduced,Faeces,Human,,"Alterations in gut bacterial and fungal microbiomes are associated with bacterial keratitis, an inflammatory disease of the human eye",https://www.ncbi.nlm.nih.gov/pubmed/30541945
Lachnospira,Keratitis,Reduced,Faeces,Human,,"Alterations in gut bacterial and fungal microbiomes are associated with bacterial keratitis, an inflammatory disease of the human eye",https://www.ncbi.nlm.nih.gov/pubmed/30541945
Ruminococcus,Keratitis,Reduced,Faeces,Human,,"Alterations in gut bacterial and fungal microbiomes are associated with bacterial keratitis, an inflammatory disease of the human eye",https://www.ncbi.nlm.nih.gov/pubmed/30541945
Mitsuokella,Keratitis,Reduced,Faeces,Human,,"Alterations in gut bacterial and fungal microbiomes are associated with bacterial keratitis, an inflammatory disease of the human eye",https://www.ncbi.nlm.nih.gov/pubmed/30541945
Mortierella,Keratitis,Reduced,Faeces,Human,,"Alterations in gut bacterial and fungal microbiomes are associated with bacterial keratitis, an inflammatory disease of the human eye",https://www.ncbi.nlm.nih.gov/pubmed/30541945
Rhizopus,Keratitis,Reduced,Faeces,Human,,"Alterations in gut bacterial and fungal microbiomes are associated with bacterial keratitis, an inflammatory disease of the human eye",https://www.ncbi.nlm.nih.gov/pubmed/30541945
Kluyveromyces,Keratitis,Reduced,Faeces,Human,,"Alterations in gut bacterial and fungal microbiomes are associated with bacterial keratitis, an inflammatory disease of the human eye",https://www.ncbi.nlm.nih.gov/pubmed/30541945
Embellisia,Keratitis,Reduced,Faeces,Human,,"Alterations in gut bacterial and fungal microbiomes are associated with bacterial keratitis, an inflammatory disease of the human eye",https://www.ncbi.nlm.nih.gov/pubmed/30541945
Haematonectria,Keratitis,Reduced,Faeces,Human,,"Alterations in gut bacterial and fungal microbiomes are associated with bacterial keratitis, an inflammatory disease of the human eye",https://www.ncbi.nlm.nih.gov/pubmed/30541945
Aspergillus,Keratitis,Elevated,Faeces,Human,,"Alterations in gut bacterial and fungal microbiomes are associated with bacterial keratitis, an inflammatory disease of the human eye",https://www.ncbi.nlm.nih.gov/pubmed/30541945
Malassezia,Keratitis,Elevated,Faeces,Human,,"Alterations in gut bacterial and fungal microbiomes are associated with bacterial keratitis, an inflammatory disease of the human eye",https://www.ncbi.nlm.nih.gov/pubmed/30541945
Ureaplasma parvum serovar 3,Preterm birth,Elevated,Vaginal swab,Human,High-resolution melt PCR,Vaginal Ureaplasma parvum serovars and spontaneous preterm birth,https://www.ncbi.nlm.nih.gov/pubmed/30735669
Eubacterium saphenum,Aggressive periodontitis,Elevated,Subgingival plaque,Human,Human Oral Microbe Identification Microarray (HOMIM),Subgingival microbiome in Chinese patients with generalized aggressive periodontitis compared to healthy controls,https://www.ncbi.nlm.nih.gov/pubmed/30909081
Peptostreptococcaceae,Aggressive periodontitis,Elevated,Subgingival plaque,Human,Human Oral Microbe Identification Microarray (HOMIM),Subgingival microbiome in Chinese patients with generalized aggressive periodontitis compared to healthy controls,https://www.ncbi.nlm.nih.gov/pubmed/30909081
Parvimonas micra,Aggressive periodontitis,Elevated,Subgingival plaque,Human,Human Oral Microbe Identification Microarray (HOMIM),Subgingival microbiome in Chinese patients with generalized aggressive periodontitis compared to healthy controls,https://www.ncbi.nlm.nih.gov/pubmed/30909081
Fretibacterium,Aggressive periodontitis,Elevated,Subgingival plaque,Human,Human Oral Microbe Identification Microarray (HOMIM),Subgingival microbiome in Chinese patients with generalized aggressive periodontitis compared to healthy controls,https://www.ncbi.nlm.nih.gov/pubmed/30909081
Porphyromonas endodontalis,Aggressive periodontitis,Elevated,Subgingival plaque,Human,Human Oral Microbe Identification Microarray (HOMIM),Subgingival microbiome in Chinese patients with generalized aggressive periodontitis compared to healthy controls,https://www.ncbi.nlm.nih.gov/pubmed/30909081
Eubacterium nodatum,Aggressive periodontitis,Elevated,Subgingival plaque,Human,Human Oral Microbe Identification Microarray (HOMIM),Subgingival microbiome in Chinese patients with generalized aggressive periodontitis compared to healthy controls,https://www.ncbi.nlm.nih.gov/pubmed/30909081
Filifactor alocis,Aggressive periodontitis,Elevated,Subgingival plaque,Human,Human Oral Microbe Identification Microarray (HOMIM),Subgingival microbiome in Chinese patients with generalized aggressive periodontitis compared to healthy controls,https://www.ncbi.nlm.nih.gov/pubmed/30909081
Porphyromonas gingivalis,Aggressive periodontitis,Elevated,Subgingival plaque,Human,Human Oral Microbe Identification Microarray (HOMIM),Subgingival microbiome in Chinese patients with generalized aggressive periodontitis compared to healthy controls,https://www.ncbi.nlm.nih.gov/pubmed/30909081
Desulfobulbus,Aggressive periodontitis,Elevated,Subgingival plaque,Human,Human Oral Microbe Identification Microarray (HOMIM),Subgingival microbiome in Chinese patients with generalized aggressive periodontitis compared to healthy controls,https://www.ncbi.nlm.nih.gov/pubmed/30909081
Tanerella forsythia,Aggressive periodontitis,Elevated,Subgingival plaque,Human,Human Oral Microbe Identification Microarray (HOMIM),Subgingival microbiome in Chinese patients with generalized aggressive periodontitis compared to healthy controls,https://www.ncbi.nlm.nih.gov/pubmed/30909081
Streptococcus australis,Aggressive periodontitis,Reduced,Subgingival plaque,Human,Human Oral Microbe Identification Microarray (HOMIM),Subgingival microbiome in Chinese patients with generalized aggressive periodontitis compared to healthy controls,https://www.ncbi.nlm.nih.gov/pubmed/30909081
Streptococcus oralis,Aggressive periodontitis,Reduced,Subgingival plaque,Human,Human Oral Microbe Identification Microarray (HOMIM),Subgingival microbiome in Chinese patients with generalized aggressive periodontitis compared to healthy controls,https://www.ncbi.nlm.nih.gov/pubmed/30909081
Pseudomonas aeruginosa,Aggressive periodontitis,Reduced,Subgingival plaque,Human,Human Oral Microbe Identification Microarray (HOMIM),Subgingival microbiome in Chinese patients with generalized aggressive periodontitis compared to healthy controls,https://www.ncbi.nlm.nih.gov/pubmed/30909081
Porphyromonas gingivalis,Aggressive periodontitis,Elevated,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Candidatus tammella,Aggressive periodontitis,Elevated,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Treponema denticola,Aggressive periodontitis,Elevated,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Treponema medium,Aggressive periodontitis,Elevated,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Tanerella forsythia,Aggressive periodontitis,Elevated,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Porphyromonas endodontalis,Aggressive periodontitis,Elevated,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Filifactor alocis,Aggressive periodontitis,Elevated,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Snowella rosea,Aggressive periodontitis,Elevated,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Sphingobacterium bambusae,Aggressive periodontitis,Elevated,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Campylobacter showae,Aggressive periodontitis,Elevated,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Dysgonomonas wimpennyi,Aggressive periodontitis,Elevated,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Selenomonas infelix,Aggressive periodontitis,Elevated,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Treponema maltophilum,Aggressive periodontitis,Elevated,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Sneathia sanguinegens,Aggressive periodontitis,Elevated,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Treponema socranskii,Aggressive periodontitis,Elevated,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Neisseria lactamica,Aggressive periodontitis,Reduced,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Lautropia mirabilis,Aggressive periodontitis,Reduced,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Corynebacterium matruchotii,Aggressive periodontitis,Reduced,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Rothia dentocariosa,Aggressive periodontitis,Reduced,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Acinetobacter gerneri,Aggressive periodontitis,Reduced,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Veillonella atypica,Aggressive periodontitis,Reduced,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Actinomyces meyeri,Aggressive periodontitis,Reduced,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Streptococcus intermedius,Aggressive periodontitis,Reduced,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Streptococcus tigurinus,Aggressive periodontitis,Reduced,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Mannheimia caviae,Aggressive periodontitis,Reduced,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Campylobacter gracilis,Aggressive periodontitis,Reduced,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Streptococcus sanguinis,Aggressive periodontitis,Reduced,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Acinetobacter antiviralis,Aggressive periodontitis,Reduced,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Acinetobacter baumannii,Aggressive periodontitis,Reduced,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Haemophilus parainfluenzae,Aggressive periodontitis,Reduced,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Acinetobacter rhizosphaerae,Aggressive periodontitis,Reduced,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Acinetobacter calcoaceticus,Aggressive periodontitis,Reduced,Subgingival plaque,Human,MiSeq sequencing,Comparison of the oral microbiome of patients with generalized aggressive periodontitis and periodontitis-free subjects,https://www.ncbi.nlm.nih.gov/pubmed/30710838
Bacteroides,Autism spectrum disorders,Elevated,Faeces,Human,16S rRNA sequencing,Disturbance of trace element and gut microbiota profiles as indicators of autism spectrum disorder: a pilot study of Chinese children,https://www.ncbi.nlm.nih.gov/pubmed/30743242
Parabacteroides,Autism spectrum disorders,Elevated,Faeces,Human,16S rRNA sequencing,Disturbance of trace element and gut microbiota profiles as indicators of autism spectrum disorder: a pilot study of Chinese children,https://www.ncbi.nlm.nih.gov/pubmed/30743242
Sutterella,Autism spectrum disorders,Elevated,Faeces,Human,16S rRNA sequencing,Disturbance of trace element and gut microbiota profiles as indicators of autism spectrum disorder: a pilot study of Chinese children,https://www.ncbi.nlm.nih.gov/pubmed/30743242
Lachnospira,Autism spectrum disorders,Elevated,Faeces,Human,16S rRNA sequencing,Disturbance of trace element and gut microbiota profiles as indicators of autism spectrum disorder: a pilot study of Chinese children,https://www.ncbi.nlm.nih.gov/pubmed/30743242
Bacillus,Autism spectrum disorders,Elevated,Faeces,Human,16S rRNA sequencing,Disturbance of trace element and gut microbiota profiles as indicators of autism spectrum disorder: a pilot study of Chinese children,https://www.ncbi.nlm.nih.gov/pubmed/30743242
Bilophila,Autism spectrum disorders,Elevated,Faeces,Human,16S rRNA sequencing,Disturbance of trace element and gut microbiota profiles as indicators of autism spectrum disorder: a pilot study of Chinese children,https://www.ncbi.nlm.nih.gov/pubmed/30743242
Lactococcus,Autism spectrum disorders,Elevated,Faeces,Human,16S rRNA sequencing,Disturbance of trace element and gut microbiota profiles as indicators of autism spectrum disorder: a pilot study of Chinese children,https://www.ncbi.nlm.nih.gov/pubmed/30743242
Lachnobacterium,Autism spectrum disorders,Elevated,Faeces,Human,16S rRNA sequencing,Disturbance of trace element and gut microbiota profiles as indicators of autism spectrum disorder: a pilot study of Chinese children,https://www.ncbi.nlm.nih.gov/pubmed/30743242
Oscillospira,Autism spectrum disorders,Elevated,Faeces,Human,16S rRNA sequencing,Disturbance of trace element and gut microbiota profiles as indicators of autism spectrum disorder: a pilot study of Chinese children,https://www.ncbi.nlm.nih.gov/pubmed/30743242
Moraxella catarrhalis,Protracted bacterial bronchitis,Elevated,Bronchoalveolar lavage,Human,16S rRNA sequencing,Multiple respiratory microbiota profiles are associated with lower airway inflammation in children with protracted bacterial bronchitis,https://www.ncbi.nlm.nih.gov/pubmed/30660785
Haemophilus influenzae,Protracted bacterial bronchitis,Elevated,Bronchoalveolar lavage,Human,16S rRNA sequencing,Multiple respiratory microbiota profiles are associated with lower airway inflammation in children with protracted bacterial bronchitis,https://www.ncbi.nlm.nih.gov/pubmed/30660785
Prevotella,Protracted bacterial bronchitis,Elevated,Bronchoalveolar lavage,Human,16S rRNA sequencing,Multiple respiratory microbiota profiles are associated with lower airway inflammation in children with protracted bacterial bronchitis,https://www.ncbi.nlm.nih.gov/pubmed/30660785
